;image;car_name;car_info;price_in_byn;price_in_usd;city;date
0;https://avcdn.av.by/advertpreview/0002/3128/2771.jpg;BMW X3 G01;2021 г.автомат, 2.0 л, бензин, внедорожник 5 дв.43 000 км;123 384 р.;≈ 39 000 $;Минск;12 января
1;https://avcdn.av.by/advertpreview/0002/5545/7815.jpg;Volkswagen Atlas I · Рестайлинг;2021 г.автомат, 2.0 л, бензин, внедорожник 5 дв.16 000 км;115 475 р.;≈ 36 500 $;Молодечно;10 января
2;https://avcdn.av.by/advertpreview/0002/6687/2736.jpg;Volvo S60 III;2021 г.автомат, 2.0 л, бензин (гибрид), седан69 300 км;105 984 р.;≈ 33 500 $;Борисов;15 ноября 2023
3;https://avcdn.av.by/advertpreview/0002/7332/3499.jpg;Volvo XC60 II;2021 г.автомат, 2.0 л, бензин, внедорожник 5 дв.27 000 км;112 153 р.;≈ 35 450 $;Полоцк;11 января
4;https://avcdn.av.by/advertpreview/0002/8326/3317.jpg;Buick Encore GX I;2021 г.вариатор, 1.3 л, бензин, внедорожник 5 дв.20 000 км;61 692 р.;≈ 19 500 $;Минск;2 дня назад
5;https://avcdn.av.by/advertpreview/0002/8300/5504.jpg;Citroen C4 II · Рестайлинг;2021 г.автомат, 1.6 л, бензин, седан66 550 км;56 156 р.;≈ 17 750 $;Пинск;22 минуты назад
6;https://avcdn.av.by/advertpreview/0002/7956/5793.jpg;Hyundai Sonata DN;2021 г.автомат, 2.0 л, бензин (гибрид), седан27 800 км;120 221 р.;≈ 38 000 $;Минск;час назад
7;https://avcdn.av.by/advertpreview/0002/7618/2843.jpg;Kia Seltos;2021 г.автомат, 1.6 л, бензин, внедорожник 5 дв.63 000 км;69 538 р.;≈ 21 980 $;Минск;12 часов назад
8;https://avcdn.av.by/advertpreview/0002/7168/6577.jpg;Haval F7 I;2021 г.робот, 1.5 л, бензин, внедорожник 5 дв.68 000 км;55 333 р.;≈ 17 490 $;Минск;12 часов назад
9;https://avcdn.av.by/advertpreview/0002/8307/0512.jpg;Nissan X-Trail III (T32) · Рестайлинг;2021 г.вариатор, 2.5 л, бензин, внедорожник 5 дв.27 500 км;94 879 р.;≈ 29 990 $;Минск;3 дня назад
10;https://avcdn.av.by/advertpreview/0002/8362/9201.jpg;BMW X4 G02;2021 г.автомат, 3.0 л, бензин, внедорожник 5 дв.23 000 км;205 641 р.;≈ 65 000 $;Витебск;9 часов назад
11;https://avcdn.av.by/advertpreview/0002/7054/0374.jpg;Hyundai Santa Fe TM · Рестайлинг;2021 г.автомат, 2.5 л, бензин, внедорожник 5 дв.41 500 км;117 057 р.;≈ 37 000 $;Минск;28 декабря
12;https://avcdn.av.by/advertpreview/0002/8252/8836.jpg;Hyundai Accent V · Рестайлинг;2021 г.автомат, 1.4 л, бензин, седан87 900 км;43 343 р.;≈ 13 700 $;Минск;14 часов назад
13;https://avcdn.av.by/advertpreview/0002/7347/6888.jpg;Lada (ВАЗ) Vesta I;2021 г.механика, 1.6 л, бензин (метан), универсал89 000 км;34 643 р.;≈ 10 950 $;Минск;вчера
14;https://avcdn.av.by/advertpreview/0002/6424/7299.jpg;Chevrolet Equinox III;2021 г.автомат, 1.5 л, бензин, внедорожник 5 дв.41 400 км;66 121 р.;≈ 20 900 $;Минск;5 ноября 2023
15;https://avcdn.av.by/advertpreview/0002/6711/5005.jpg;Jaguar I-Pace I;2021 г.автомат, электро, внедорожник 5 дв., запас хода 490 км14 900 км;174 000 р.;≈ 54 999 $;Брест;вчера
16;https://avcdn.av.by/advertpreview/0002/8341/2072.jpg;Jeep Wrangler JL;2021 г.автомат, 2.0 л, бензин, внедорожник 5 дв.14 000 км;177 167 р.;≈ 56 000 $;Минск;вчера
17;https://avcdn.av.by/advertpreview/0002/4003/3673.jpg;Volkswagen Tiguan II· Рестайлинг, 7 мест;2021 г.автомат, 2.0 л, бензин, внедорожник 5 дв.22 500 км;94 908 р.;≈ 29 999 $;Минск;вчера
18;https://avcdn.av.by/advertpreview/0002/6071/8529.jpg;Land Rover Defender II;2021 г.автомат, 2.0 л, дизель, внедорожник 5 дв.97 000 км;211 968 р.;≈ 67 000 $;Минск;2 дня назад
19;https://avcdn.av.by/advertpreview/0002/8250/7960.jpg;Jeep Grand Cherokee WL;2021 г.автомат, 3.6 л, бензин, внедорожник 5 дв.30 000 км;174 004 р.;≈ 55 000 $;Орша;2 дня назад
