;image;car_name;car_info;price_in_byn;price_in_usd;city;date
0;https://avcdn.av.by/advertpreview/0002/8387/2557.jpg;Lada (ВАЗ) Vesta I;2016 г.механика, 1.6 л, бензин (пропан-бутан), седан272 000 км;19 773 р.;≈ 6 250 $;Борисов;6 часов назад
1;https://avcdn.av.by/advertpreview/0002/8130/9753.jpg;Hyundai Tucson III;2016 г.механика, 1.7 л, дизель, внедорожник 5 дв.200 000 км;56 472 р.;≈ 17 850 $;Брест;11 января
2;https://avcdn.av.by/advertpreview/0002/8327/4982.jpg;Kia Carens III;2016 г.механика, 1.7 л, дизель, минивэн223 000 км;44 289 р.;≈ 13 999 $;Минск;5 дней назад
3;https://avcdn.av.by/advertpreview/0002/6353/8540.jpg;Kia Optima IV;2016 г.автомат, 1.7 л, дизель, универсал154 000 км;58 528 р.;≈ 18 500 $;Минск;5 дней назад
4;https://avcdn.av.by/advertpreview/0002/7329/3387.jpg;Renault Sandero Stepway II;2016 г.механика, 1.6 л, бензин, хэтчбек 5 дв.54 000 км;31 574 р.;≈ 9 980 $;Минск;14 часов назад
5;https://avcdn.av.by/advertpreview/0002/8383/3050.jpg;Peugeot 3008 I · Рестайлинг;2016 г.автомат, 1.6 л, дизель, внедорожник 5 дв.205 000 км;46 190 р.;≈ 14 600 $;Брест;6 часов назад
6;https://avcdn.av.by/advertpreview/0002/6760/0755.jpg;Ford Fusion USA II · Рестайлинг;2016 г.вариатор, 2.0 л, бензин (гибрид), седан120 000 км;58 528 р.;≈ 18 500 $;Минск;7 часов назад
7;https://avcdn.av.by/advertpreview/0002/5163/4893.jpg;BMW X5 F15;2016 г.автомат, 3.0 л, дизель, внедорожник 5 дв.136 000 км;141 734 р.;≈ 44 800 $;Ошмяны;8 часов назад
8;https://avcdn.av.by/advertpreview/0002/8027/9438.jpg;BMW 2 серия Gran Tourer F46, 7 мест;2016 г.механика, 1.5 л, дизель, минивэн155 200 км;40 654 р.;≈ 12 850 $;Минск;9 часов назад
9;https://avcdn.av.by/advertpreview/0002/8007/8594.jpg;Lada (ВАЗ) Vesta I;2016 г.робот, 1.6 л, бензин, седан113 000 км;21 510 р.;≈ 6 799 $;Минск;11 часов назад
10;https://avcdn.av.by/advertpreview/0002/6641/8865.jpg;Mercedes-Benz CLA C117, X117 · Рестайлинг;2016 г.робот, 2.0 л, бензин, седан70 700 км;78 776 р.;≈ 24 900 $;Минск;3 дня назад
11;https://avcdn.av.by/advertpreview/0002/7433/0845.jpg;Renault Scenic III · 2-й рестайлинг;2016 г.механика, 1.5 л, дизель, минивэн210 000 км;40 812 р.;≈ 12 900 $;Лида;14 часов назад
12;https://avcdn.av.by/advertpreview/0002/6945/4333.jpg;Mitsubishi Pajero IV · 2-й рестайлинг, 7 мест;2016 г.автомат, 3.2 л, дизель, внедорожник 5 дв.98 000 км;109 148 р.;≈ 34 500 $;Орша;вчера
13;https://avcdn.av.by/advertpreview/0002/7380/3740.jpg;Opel Insignia I · Рестайлинг;2016 г.механика, 1.6 л, дизель, универсал205 000 км;39 546 р.;≈ 12 500 $;Новополоцк;вчера
14;https://avcdn.av.by/advertpreview/0002/7468/5598.jpg;Mercedes-Benz E-Класс W213, S213, C238, A238;2016 г.автомат, 2.0 л, дизель, седан223 000 км;79 089 р.;≈ 24 999 $;Минск;2 дня назад
15;https://avcdn.av.by/advertpreview/0000/7165/1898.jpg;Mercedes-Benz GLA X156;2016 г.робот, 2.0 л, бензин, внедорожник 5 дв.157 000 км;66 280 р.;≈ 20 950 $;Минск;2 дня назад
16;https://avcdn.av.by/advertpreview/0002/7468/1498.jpg;Mercedes-Benz E-Класс W213, S213, C238, A238;2016 г.автомат, 2.0 л, дизель, седан182 000 км;82 256 р.;≈ 26 000 $;Минск;2 дня назад
17;https://avcdn.av.by/advertpreview/0002/7478/7712.jpg;Chevrolet Volt II;2016 г.вариатор, 1.5 л, бензин (гибрид), хэтчбек 5 дв.102 000 км;52 201 р.;≈ 16 500 $;Минск;14 января
18;https://avcdn.av.by/advertpreview/0002/7941/4781.jpg;Hyundai i40 VF · Рестайлинг;2016 г.механика, 1.7 л, дизель, универсал206 250 км;40 337 р.;≈ 12 750 $;Минск;2 дня назад
19;https://avcdn.av.by/advertpreview/0002/8024/5482.jpg;Renault Sandero Stepway II;2016 г.автомат, 1.6 л, бензин, хэтчбек 5 дв.26 000 км;34 168 р.;≈ 10 800 $;Полоцк;9 часов назад
20;https://avcdn.av.by/advertpreview/0002/4353/9403.jpg;Volkswagen Golf VII;2016 г.механика, 2.0 л, дизель, универсал288 000 км;43 975 р.;≈ 13 900 $;Минск;2 дня назад
21;https://avcdn.av.by/advertpreview/0002/6558/3786.jpg;BMW 5 серия F10, F11 · Рестайлинг;2016 г.автомат, 2.0 л, дизель, универсал220 000 км;64 856 р.;≈ 20 500 $;Минск;5 часов назад
22;https://avcdn.av.by/advertpreview/0002/8268/8796.jpg;Volkswagen Golf VII;2016 г.механика, 1.2 л, бензин, универсал108 500 км;42 077 р.;≈ 13 300 $;Минск;вчера
23;https://avcdn.av.by/advertpreview/0002/7853/9445.jpg;Peugeot 5008 I · Рестайлинг, 7 мест;2016 г.автомат, 1.6 л, бензин, минивэн210 000 км;43 659 р.;≈ 13 800 $;Минск;вчера
24;https://avcdn.av.by/advertpreview/0002/5192/3395.jpg;Peugeot Traveller;2016 г.механика, 1.6 л, дизель, микроавтобус пассажирский128 000 км;75 454 р.;≈ 23 850 $;Гродно;2 дня назад
25;https://avcdn.av.by/advertpreview/0002/7329/3387.jpg;Renault Sandero Stepway II;2016 г.механика, 1.6 л, бензин, хэтчбек 5 дв.54 000 км;31 574 р.;≈ 9 980 $;Минск;14 часов назад
26;https://avcdn.av.by/advertpreview/0002/8387/2557.jpg;Lada (ВАЗ) Vesta I;2016 г.механика, 1.6 л, бензин (пропан-бутан), седан272 000 км;19 773 р.;≈ 6 250 $;Борисов;6 часов назад
27;https://avcdn.av.by/advertpreview/0002/8383/3050.jpg;Peugeot 3008 I · Рестайлинг;2016 г.автомат, 1.6 л, дизель, внедорожник 5 дв.205 000 км;46 190 р.;≈ 14 600 $;Брест;6 часов назад
28;https://avcdn.av.by/advertpreview/0002/6760/0755.jpg;Ford Fusion USA II · Рестайлинг;2016 г.вариатор, 2.0 л, бензин (гибрид), седан120 000 км;58 528 р.;≈ 18 500 $;Минск;7 часов назад
29;https://avcdn.av.by/advertpreview/0002/5163/4893.jpg;BMW X5 F15;2016 г.автомат, 3.0 л, дизель, внедорожник 5 дв.136 000 км;141 734 р.;≈ 44 800 $;Ошмяны;8 часов назад
30;https://avcdn.av.by/advertpreview/0002/8027/9438.jpg;BMW 2 серия Gran Tourer F46, 7 мест;2016 г.механика, 1.5 л, дизель, минивэн155 200 км;40 654 р.;≈ 12 850 $;Минск;9 часов назад
31;https://avcdn.av.by/advertpreview/0002/8007/8594.jpg;Lada (ВАЗ) Vesta I;2016 г.робот, 1.6 л, бензин, седан113 000 км;21 510 р.;≈ 6 799 $;Минск;11 часов назад
32;https://avcdn.av.by/advertpreview/0002/6641/8865.jpg;Mercedes-Benz CLA C117, X117 · Рестайлинг;2016 г.робот, 2.0 л, бензин, седан70 700 км;78 776 р.;≈ 24 900 $;Минск;3 дня назад
33;https://avcdn.av.by/advertpreview/0002/7433/0845.jpg;Renault Scenic III · 2-й рестайлинг;2016 г.механика, 1.5 л, дизель, минивэн210 000 км;40 812 р.;≈ 12 900 $;Лида;14 часов назад
34;https://avcdn.av.by/advertpreview/0002/6945/4333.jpg;Mitsubishi Pajero IV · 2-й рестайлинг, 7 мест;2016 г.автомат, 3.2 л, дизель, внедорожник 5 дв.98 000 км;109 148 р.;≈ 34 500 $;Орша;вчера
35;https://avcdn.av.by/advertpreview/0002/7380/3740.jpg;Opel Insignia I · Рестайлинг;2016 г.механика, 1.6 л, дизель, универсал205 000 км;39 546 р.;≈ 12 500 $;Новополоцк;вчера
36;https://avcdn.av.by/advertpreview/0002/8130/9753.jpg;Hyundai Tucson III;2016 г.механика, 1.7 л, дизель, внедорожник 5 дв.200 000 км;56 472 р.;≈ 17 850 $;Брест;11 января
37;https://avcdn.av.by/advertpreview/0002/7468/5598.jpg;Mercedes-Benz E-Класс W213, S213, C238, A238;2016 г.автомат, 2.0 л, дизель, седан223 000 км;79 089 р.;≈ 24 999 $;Минск;2 дня назад
38;https://avcdn.av.by/advertpreview/0000/7165/1898.jpg;Mercedes-Benz GLA X156;2016 г.робот, 2.0 л, бензин, внедорожник 5 дв.157 000 км;66 280 р.;≈ 20 950 $;Минск;2 дня назад
39;https://avcdn.av.by/advertpreview/0002/8327/4982.jpg;Kia Carens III;2016 г.механика, 1.7 л, дизель, минивэн223 000 км;44 289 р.;≈ 13 999 $;Минск;5 дней назад
40;https://avcdn.av.by/advertpreview/0002/6353/8540.jpg;Kia Optima IV;2016 г.автомат, 1.7 л, дизель, универсал154 000 км;58 528 р.;≈ 18 500 $;Минск;5 дней назад
41;https://avcdn.av.by/advertpreview/0002/7468/1498.jpg;Mercedes-Benz E-Класс W213, S213, C238, A238;2016 г.автомат, 2.0 л, дизель, седан182 000 км;82 256 р.;≈ 26 000 $;Минск;2 дня назад
42;https://avcdn.av.by/advertpreview/0002/7478/7712.jpg;Chevrolet Volt II;2016 г.вариатор, 1.5 л, бензин (гибрид), хэтчбек 5 дв.102 000 км;52 201 р.;≈ 16 500 $;Минск;14 января
