;image;car_name;car_info;price_in_byn;price_in_usd;city;date
0;https://avcdn.av.by/advertpreview/0002/8306/6642.jpg;Ford Kuga II;2014 г.автомат, 1.6 л, бензин, внедорожник 5 дв.174 112 км;40 495 р.;≈ 12 800 $;Минск;вчера
1;https://avcdn.av.by/advertpreview/0002/8339/4917.jpg;Audi A8 D4 · Рестайлинг;2014 г.автомат, 3.0 л, бензин, седан230 000 км;90 798 р.;≈ 28 700 $;Лида;вчера
2;https://avcdn.av.by/advertpreview/0002/8028/4963.jpg;Hyundai Solaris I · Рестайлинг;2014 г.механика, 1.6 л, бензин, седан100 900 км;33 219 р.;≈ 10 500 $;Минск;7 января
3;https://avcdn.av.by/advertpreview/0002/8252/1524.jpg;Nissan Juke YF15 · Рестайлинг;2014 г.механика, 1.6 л, бензин, внедорожник 5 дв.42 000 км;49 037 р.;≈ 15 500 $;Гомель;2 дня назад
4;https://avcdn.av.by/advertpreview/0002/8327/1057.jpg;Volvo XC60 I · Рестайлинг;2014 г.автомат, 2.0 л, бензин, внедорожник 5 дв.151 588 км;63 116 р.;≈ 19 950 $;Минск;2 дня назад
5;https://avcdn.av.by/advertpreview/0002/5513/4980.jpg;Jeep Grand Cherokee WK2 · Рестайлинг;2014 г.автомат, 3.6 л, бензин, внедорожник 5 дв.191 000 км;102 820 р.;≈ 32 500 $;Барановичи;23 октября 2023
6;https://avcdn.av.by/advertpreview/0002/8250/9205.jpg;Land Rover Range Rover Sport II;2014 г.автомат, 3.0 л, бензин, внедорожник 5 дв.197 000 км;94 908 р.;≈ 29 999 $;Минск;5 дней назад
7;https://avcdn.av.by/advertpreview/0002/8377/9585.jpg;BMW 3 серия F30, F31;2014 г.автомат, 1.6 л, бензин, седан210 000 км;52 201 р.;≈ 16 500 $;Минск;6 часов назад
8;https://avcdn.av.by/advertpreview/0002/8360/9859.jpg;Skoda Superb II · Рестайлинг;2014 г.робот, 1.8 л, бензин, лифтбек299 000 км;49 354 р.;≈ 15 600 $;Брест;9 часов назад
9;https://avcdn.av.by/advertpreview/0002/8331/7797.jpg;Citroen C4 Cactus I;2014 г.робот, 1.6 л, дизель, внедорожник 5 дв.129 000 км;39 388 р.;≈ 12 450 $;Минск;10 часов назад
10;https://avcdn.av.by/advertpreview/0002/8301/9143.jpg;Great Wall Hover M4;2014 г.механика, 1.5 л, бензин, внедорожник 5 дв.61 000 км;24 677 р.;≈ 7 800 $;Светлогорск;вчера
11;https://avcdn.av.by/advertpreview/0002/6091/4260.jpg;BMW 4 серия F32, F33, F36;2014 г.автомат, 2.0 л, дизель, купе224 000 км;72 607 р.;≈ 22 950 $;Минск;вчера
12;https://avcdn.av.by/advertpreview/0002/8124/1298.jpg;Opel Astra J · Рестайлинг;2014 г.автомат, 1.4 л, бензин, седан144 000 км;31 321 р.;≈ 9 900 $;Гомель;20 декабря 2023
13;https://avcdn.av.by/advertpreview/0002/7798/6156.jpg;Ford Explorer V, 7 мест;2014 г.автомат, 2.0 л, бензин, внедорожник 5 дв.187 000 км;47 139 р.;≈ 14 900 $;Минск;вчера
14;https://avcdn.av.by/advertpreview/0001/8101/0965.jpg;Jaguar XF X250 · Рестайлинг;2014 г.автомат, 2.0 л, бензин, седан215 000 км;52 201 р.;≈ 16 500 $;Минск;25 декабря
15;https://avcdn.av.by/advertpreview/0002/8142/2778.jpg;Volkswagen Golf Sportsvan I;2014 г.робот, 1.4 л, бензин, минивэн108 000 км;44 134 р.;≈ 13 950 $;Молодечно;2 дня назад
